zi,chaizi
僭,⿰亻朁
僮,⿰亻童
僯,⿰亻粦
僰,⿱棘人
僱,⿰亻雇
僲,⿰亻⿱覀舛
僳,⿰亻粟
僴,⿰亻間
僵,⿰亻畺
僶,⿰亻黽
僷,⿰亻葉
僸,⿰亻禁
價,⿰亻賈
僺,⿰亻喿
僻,⿰亻辟
僼,⿰亻豊
僽,⿰亻愁
僾,⿰亻愛
僿,⿰亻塞
儀,⿰亻義
儁,⿰亻雋
儂,⿰亻農
儃,⿰亻亶
億,⿰亻意
儅,⿰亻當
儆,⿰亻敬
儇,⿰亻睘
儈,⿰亻會
儉,⿰亻僉
儊,⿰亻楚
儋,⿰亻詹
儌,⿰亻敫
儍,⿰亻𡕰
儎,⿰亻載
儏,⿰亻粲
儐,⿰亻賓
儑,⿰亻㬎
儒,⿰亻需
儓,⿰亻臺
儔,⿰亻壽
儕,⿰亻齊
儖,⿰亻監
儗,⿰亻疑
儘,⿰亻盡
儙,⿰亻遣
儚,⿰亻夢
儛,⿰亻舞
儜,⿰亻寧
儝,⿰亻榮
儞,⿰亻爾
償,⿰亻賞
儠,⿰亻巤
儡,⿰亻畾
儢,⿰亻慮
儣,⿰亻廣
儤,⿰亻暴
儥,⿰亻賣
儦,⿰亻麃
儧,⿰亻賛
儨,⿰亻質
儩,⿰亻賜
優,⿰亻憂
儫,⿰亻豪
儬,⿰亻靚
儭,⿰亻親
儮,⿰亻歷
儯,⿰亻駦
儰,⿰亻蔿
儱,⿰亻龍
儲,⿰亻諸
儳,⿰亻毚
儴,⿰亻襄
儵,⿸攸黑
儶,⿰亻巂
儷,⿰亻麗
儸,⿰亻羅
儹,⿰亻贊
儺,⿰亻難
儻,⿰亻黨
儼,⿰亻嚴
儽,⿰亻纍
儾,⿰亻囊
儿,⿰丿乚
兀,⿱一儿
允,⿱厶儿
兂,⿻尢𠃊
元,⿱二儿
兄,⿱口儿
充,⿱𠫓儿
兆,⿻乚氺
兇,⿱凶儿
先,⿱𠂒儿
光,⿱⺌兀
兊,⿱八允
克,⿱古儿
兌,⿱八兄
免,⿱⺈⿻
兎,⿱丿⿷⿻⿸丿乚口丶
兏,⿸𠂆𠑷
児,⿱旧儿
兑,⿱丷兄
兒,⿱臼儿
兓,⿰旡旡
兔,⿱⺈⿷⿻⿸丿乚口丶
兕,⿱凹儿
兖,⿱亠兊
兗,⿱亠兑
兘,⿺元台
兙,⿺克十
党,⿱龸兄
兛,⿺克千
兜,⿱⿲匚白コ儿
兝,⿺克分
兞,⿺克毛
兟,⿰先先
兠,⿱⿴北白儿
兡,⿺克百
兢,⿰克克
兣,⿺克厘
兤,⿺光廣
入,⿹乀丿
兦,⿺𠃊入
內,⿻入冂
全,⿱人王
兩,⿻丅⿵冂𠓜
兪,⿱𠓛⿰⺝巜
八,⿰丿乀
公,⿱八厶
六,⿱亠八
兮,⿱八丂
兯,⿱丷𰆊
